特色,連結事業,従業員数（単独）,従業員数（連結）,平均年齢,平均年収
ＥＣ（電子商取引）業者に決済処理サービス提供。ＧＭＯ子会社。「後払い（ＢＮＰＬ）」を強化,決済代行76(45)、金融関連22(25)、決済活性化2(25)(2024.9),580,825,36.3,8630000
モバイル端末の占いコンテンツ配信が核。３０〜４０代女性が主顧客。占い事業に経営資源集中,モバイルサービス88(18)、海外9(-12)、他3(35)(2024.4),13,98,39.9,5400000
独立系ＳＩ。製造業を中心に企業向け情報システム構築と保守・運用。トヨタＧ向けが約３割,ＳＩサービス39、ソフトウエア開発56、ソフトウエアプロダクト2、商品販売2、他1(2024.3),1505,1527,34.2,5060000
不動産ファンドによる高級ホテルへの投資や運営を展開。事業用不動産の開発・再生に強み,アセットマネジメント2(6)、不動産76(11)、ホテル運営22(23)(2024.3),21,397,37.2,7190000
独自の音声認識技術「アミボイス」を核に各種の業務支援システム・サービスを開発提供する,音声認識100(2024.3),241,267,37.5,6210000
ネット接続の草分け。法向けシステム構築、クラウド、セキュリティに強い。ＭＶＮＯ大手,ネットワークサービス55、システムインテグレーション44、ＡＴＭ運営1(2024.3),2942,5176,37.6,7380000
都市型データセンター（ＤＣ）運用。東京・大手町の新ＤＣ主体。データ保管、クラウド強化,コンピュータプラットフォーム73(0)、メディアソリューション27(2)(2023.12),---,239,40.0,6430000
ＩＴ関連やビルメンテ、太陽光発電所の開発などを展開。リユース会社２３年買収で業容急拡大,資源エネルギー8(16)、環境2(7)、ＩＴ関連89(1)(2023.12),5,28,46.6,5670000
データセンター（ＤＣ）独立系大手。主軸はクラウドサービスに移行。製造業や官公庁向けに実績,クラウドサービス59、物理基盤サービス16、他サービス25(2024.3),741,927,39.5,6140000
傘下に理美容業向け商材販売、テレビ通販など。韓国社買収し日韓でデジタルギフト事業展開,理美容6(-8)、コンサルティング0(72)、通信販売26(-5)、デジタルマーケティング68(-23)、他0(-116)【海外】66(2024.3),3,69,42.7,4420000
指紋など生体認証ソフト・装置開発。ＦＩＤＯ（パスワードレス認証標準化技術）の普及推進,バイオメトリクス100(2022.12),59,60,43.6,6690000
モバイルコンテンツ配信が柱、受託も。Ｏａｋキャピタルが完全子会社化、５月８日上場廃止,【単独事業】エンタテインメント75(21)、ソリューション24(16)、他1(-274)(2012.6),55,---,35.5,5300000
小売り・流通向けソフト開発。ＡＳＥＡＮなど海外展開も。親会社の富士ソフトがＴＯＢ,アウトソーシング分野27(10)、ソリューション分野40(11)、プロダクト分野14(14)、他ＩＴ関連分野19(4)【海外】5(2022.12),1264,1552,38.3,5920000
ゲーム受託開発。オリジナルゲームやキャラクター開発も。ＴＯＢでコロプラの子会社化へ,【単独事業】ゲームコンテンツ開発100【輸出】15(2015.9),214,---,35.1,4590000
独自圧縮技術による画像、音声処理ソフトとハード開発、ライセンス。売上は主に９月・３月集中,【単独事業】ソフトウェアライセンス20、ハードウェアライセンス44、ソリューション35【海外】29(2024.3),58,---,49.7,5760000
ＧＭＯ傘下。独自の認証局強みにクラウド・セキュリティ事業を展開。電子印鑑サービス育成中,電子認証・印鑑61(13)、クラウドインフラ33(16)、ＤＸ6(-4)【海外】41(2023.12),366,986,39.6,5970000
ネット接続運営。ゲーム、医療情報事業も。ＴＯＢでソニーの完全子会社、１３年１月中に上場廃止,ネットワーク68(7)、メディア・エンタテインメント32(28)(2012.3),487,1951,37.2,7370000
企業のＩＴ業務アウトソーシング（ＢＰＯ）が主力。親会社によるＴＯＢ成立で上場廃止へ,情報サービス76(26)、システム販売24(11)(2015.3),449,539,43.0,5550000
映画、テレビ、配信等向けアニメ制作と版権収入が主柱。子会社にコミック専門出版社も,映像制作52(-15)、出版20(21)、版権25(61)、他2(-6)【海外】16(2024.5),218,466,35.6,---
アニメ、漫画など有力ＩＰのスマホゲーム開発・運用。他社配信主体。出版、Ｗｅｂ３事業を育成,ゲーム96(20)、メディア4(-229)(2024.3),278,371,37.1,7180000
介護・福祉分野に特化したソフト会社。業界首位級。医療系ソフトにも展開。ファンドがＭＢＯ,ヘルスケア等ソフトウェア50(22)、受託開発等ソフトウェア35(4)、ヘルスケアサービス9(0)、ＡＳＰ6(5)(2018.3),386,983,38.3,5780000
賃貸物件を中心に、不動産業界に特化した業務支援システムをクラウド・ＳａａＳなどで提供,クラウドソリューション100(2024.3),198,224,35.4,6100000
ＩＴシステムのコンサル、設計、構築担う。流通、製造、情報サービス向けに強み。ＳＩ企業と合併,コンサルティング100(2024.3),563,655,39.9,9420000
総合システムサービス。ＮＥＣと密接。インフラ関連のシステム開発・構築、運用保守。ＥＲＰも,システム開発67(5)、ＳＩ25(4)、他8(-2)(2024.3),739,1272,41.8,6210000
独立系ソフト開発会社。メインフレームからオープン系までカバー。１５年にビーコンＩＴと合併,プロダクト39(24)、クラウド28(-1)、プロフェッショナル33(8)(2024.3),292,668,40.1,7010000
給与計算受託。道外企業の受注が主。札幌と中国・青島現法で処理。キャリアバンクの持分会社,ＢＰＯ95(9)、ソフトウェア・ハードウェア開発5(-4)(2024.3),70,160,37.0,3890000
イメージデータ処理で出発。柱はシステム開発。純粋持株会社化で多角的事業展開。他社連携も,ＩＴソリューション81(30)、ＢＰＯ・サービス19(20)(2024.3),4,54,55.5,4060000
特定業種特化のソフトを開発販売。大学用と健康クラブ用の管理ソフトが２本柱。自治体開拓中,ソフトウェア99(26)、他1(32)(2023.10),270,279,37.6,5780000
金融・経済情報が柱。上場企業のＩＲ支援も。暗号資産も展開。ネクス、ＣＡＩＣＡ、クシムと親密,【単独事業】情報サービス188(16)、広告代理11(-11)、暗号資産・ブロックチェーン-113、他14(82)(2023.12),32,---,45.4,5110000
ＰＣオンラインゲーム大手。クレーンゲームなど自社サイト運営による課金収入が収益柱,オンラインゲーム94(-19)、エンターテインメント6(-10)【海外】40(2024.5),239,264,33.6,3780000
都市型データセンター運営。寺田倉庫、自社物件活用の自前設備に強み。運用・ＳＩサービスも,ｉＤＣサービス60、マネージドサービス26、ソリューションサービス13、他1(2014.7),160,670,36.9,6000000
オンラインゲーム運営で国内先駆的。筆頭株主の韓国同業大手のＴＯＢ成立、４月２４日上場廃止,オンラインゲーム運営100(2011.12),202,262,32.0,5280000
外食向けＡＳＰサービス展開。ＰＯＳ、注文装置などのシステム機器も。大手チェーンが主顧客,【単独事業】ＡＳＰ・パッケージシステム44(23)、システム機器37(3)、周辺サービス19(13)(2024.9),83,---,42.7,4220000
携帯やＰＣ向け占いコンテンツの配信サービス主力。ＳＮＳ、ＥＣ事業に参入し事業再構築へ,占い94(26)、エンタメ・マッチングサービス5(-92)、他0(-3766)(2024.8),61,61,36.3,4920000
基幹系業務ソフトの開発会社。大塚商会とＳＣＳＫが有力顧客。クラウド強化。ｉ農業育成中,ソフトウェア開発関連77(17)、サービスインテグレーション19(27)、他5(-24)(2024.7),180,187,42.3,6090000
独立系のシステム開発一括受託会社。Ｌｉｎｕｘ等オープンソース系に強い。海外展開積極化,開発52(21)、運用・構築13(29)、販売35(10)(2024.3),864,1386,45.7,6670000
日本証券金融傘下からＮＴＴデータのＴＯＢでＮＴＴデータ傘下に、７月２７日上場廃止予定,情報サービス91(3)、金融商品取引関連9(-22)(2012.3),31,2058,49.0,4850000
独立系システム開発会社。基幹・Ｗｅｂ系に強み。ＣＡＥなどにも展開。ＳＣＳＫが買収へ,【単独事業】ソフトウェア開発76(16)、システム運用管理22(11)、システム機器販売2(7)(2019.3),1045,---,38.9,5350000
端末管理システムが収益柱、ＩＴ教育も展開。ＮＦＴ分野育成。飲食事業も。エンタメ事業参入,ソリューション33(-22)、飲食関連5(34)、教育関連26(28)、エンタテインメント34(30)、他1(-278)(2024.8),11,31,---,---
電力小売りが主力、蓄電池など省エネ指南も。暗号資産交換所、中古車販売撤退し新事業模索,エネルギー92(12)、レジリエンス6(11)、メディカル1(-3)、他0(24)(2024.3),140,258,37.0,4180000
ＥＲＰ、ＤＢ開発・設計支援、プロジェクト管理等ソフト開発。ＥＣサイト構築向け２４年合弁移管,【単独事業】Ｏｂｊｅｃｔ　Ｂｒｏｗｓｅｒ15(45)、Ｅ‐Ｃｏｍｍｅｒｃｅ15(24)、ＥＲＰ68(20)、ＡＩ1(-115)、他1(-115)(2024.2),234,283,36.3,6160000
---,---,1,43,25.0,---
ネット接続「＠ｎｉｆｔｙ」展開。富士通が完全子会社化目指しＴＯＢ、今秋までに上場廃止へ,ＩＳＰ70(3)、Ｗｅｂサービス20(11)、クラウド10(15)(2016.3),670,788,39.5,7100000
携帯向けマンガ閲覧ソフト等展開。エイチアイと統合で３月２８日上場廃止、４月に持株会社上場,【単独事業】電子書籍サポート77(34)、クリエイターサポート23(-43)(2011.10),139,---,34.7,5110000
ネットでのデータ管理「スパイラル」が柱。月額サービス料が売上の大半。業種特化サービスも,情報資産プラットフォーム83(23)、広告5(12)、ソリューション13(3)(2015.2),242,260,32.0,4920000
投資情報提供が祖業。医療機器製造販売に注力。事業再建進めたが債務超過転落、上場廃止へ,ＥＴＦ関連1(-59)、金融アドバイザリー1(-3082)、医療関連89(-53)、食品関連9(-4)(2016.11),---,41,---,---
独立系ネット接続サービス（ＩＳＰ）大手。ＡＳＡＨＩネット運営。大学向け教育支援「マナバ」も,【単独事業】インターネット接続サービス89、インターネット関連サービス11(2024.3),210,---,40.2,4980000
食品業界向け商品情報管理ソフト「ｅＢＡＳＥ」を開発、販売。住宅、日用雑貨等へ多角展開中,パッケージソフトウェア開発販売51(49)、ＩＴ開発アウトソーシングビジネス49(14)(2024.3),171,485,39.8,5260000
連結会計システム「ディーバ」で首位級。ＤＸ推進支援、経営情報管理ソフト「アバント」の３本柱,連結決算開示29(24)、デジタルトランスフォーメーション推進36(18)、経営管理ソリューション35(17)(2024.6),46,1552,44.6,9640000
